,del,,dup
,DDX11L17,,AGRN
,LOC100996583,,CCDC27
,AJAP1,,ACOT7
,CAMTA1,,AADACL3
,HNRNPCL3,,ARHGEF10L
,C1orf195,,AHDC1
,ALDH4A1,,ADGRB2
,LINC01648,,AGO1
,GJA4,,FHL3
,C1orf109,,BMP8B
,AKIRIN1,,AKR1A1
,C1orf50,,ACOT11
,AGBL4,,DAB1
,C8B,,ATG4C
,CYP2J2,,ROR1
,L1TD1,,AK4
,DLEU2L,,PDE4B
,CACHD1,,C1orf141
,DNAJC6,,PTGER3
,DNAI4,,LHX8
,CTH,,ST6GALNAC3
,CRYZ,,GIPC2
,ACADM,,BCL10
,AK5,,GBP5
,ADGRL2,,HFM1
,DNASE2B,,ABCD3
,GBP2,,CDC14A
,HFM1,,LOC101928436
,CDC7,,ADORA3
,AGL,,LRIG2
,COL11A1,,AMPD1
,AMY1A,,CD101
,AKNAD1,,NBPF8
,CAPZA1,,CD160
,AP4B1,,RNVU1-8
,ATP1A1,,NBPF9
,GDAP2,,ACKR1
,HAO2,,ADCY10
,EMBP1,,BLZF1
,ANKRD35,,FMO1
,LOC728989,,C1orf105
,ACP6,,ANKRD45
,FCGR1A,,CACYBP
,ALDH9A1,,ASTN1
,DPT,,ABL2
,GORAB,,KIAA1614-AS1
,DNM3,,CACNA1E
,FASLG,,ARPC5
,RABGAP1L,,EDEM3
,COP1,,ODR4
,ASTN1,,ASPM
,LHX4,,PTPRC
,CACNA1E,,ADIPOR1
,CACNA1E,,IRF6
,COLGALT2,,ANGEL2
,HMCN1,,PTPN14
,BRINP3,,USH2A
,ATP6V1G3,,BPNT1
,LINC01221,,BROX
,G0S2,,SEPTIN7P13
,HHAT,,CNIH3
,PROX1,,ACBD3-AS1
,KCNK2,,DUSP5P1
,BPNT1,,TAF5L
,C1orf115,,ARV1
,CAPN2,,SIPA1L2
,DEGS1,,IRF2BP2
,CNIH3,,ACTN2
,ARF1,,RYR2
,ACTA1,,EXO1
,AGT,,AHCTF1
,DISC1,,ADI1
,COA6,,MBOAT2
,ARID4B,,ADAM17
,RYR2,,LINC01804
,CHML,,GEN1
,ADSS2,,GDF7
,CMPK2,,ADCY3
,ASAP2,,BIRC6
,LOC100506474,,CEBPZOS
,GACAT3,,ARHGEF33
,LINC00954,,ABCG8
,ATAD2B,,CALM2
,CAPN13,,GTF2A1L
,DPY30,,ACYP2
,CRIM1-DT,,CCDC88A
,ATL2,,AHSA2P
,C2orf91,,ACTR2
,ATP6V1E2,,AAK1
,FOXN2,,ACTG2
,ASB3,,ANAPC1P2
,ACYP2,,GGT8P
,BCL11A,,FAHD2CP
,B3GNT2,,ANKRD23
,C1D,,AFF3
,CCT7,,LINC01796
,CAPG,,CCDC138
,ANKRD36BP2,,MIR4435-2HG
,LOC107985911,,ACTR3
,BMS1P14,,LOC101927709
,ARID5A,,EPB41L5
,VWA3B,,AMMECR1L
,CNOT11,,ARHGEF4
,IL18R1,,ANKRD30BL
,C2orf49,,CXCR4
,ACOXL,,STAM2
,FBLN7,,CCDC148
,DDX18,,ITGB6
,C2orf76,,GCA
,BIN1,,KCNH7
,AMER3,,SCN1A
,C2orf27A,,XIRP2
,ACMSD,,CYBRD1
,GTDC1,,CDCA7
,ACVR2A,,ATF2
,ACVR1,,CCDC141
,BAZ2B,,DNAJC10
,DPP4,,TFPI
,KCNH7,,PMS1
,COBLL1,,GLS
,SCN7A,,ANKRD44
,B3GALT1-AS1,,ABI2
,BBS5,,CPO
,MAP3K20,,CPS1
,ATF2,,LINC01963
,EVX2,,DIRC3-AS1
,CERKL,,ABCB6
,DUSP19,,CCL20
,CALCRL,,ALPI
,ANKAR,,ARL4C
,C2orf88,,ASB1
,HECW2,,ATG4B
,AOX3P-AOX2P,,CRBN
,EEF1B2,,BHLHE40
,CCNYL1,,ARPC4
,CPS1,,ANKRD28
,ABCA12,,DAZL
,IGFBP2,,PLCL2
,AAMP,,NGLY1
,ACSL3,,CLASP2
,FBXO36,,ACAA1
,CHRND,,EIF1B-AS1
,AGAP1,,CCDC13
,ANKMY1,,ALS2CL
,ITPR1,,ABHD14A-ACY1
,CAV3,,ABHD6
,ATG7,,ATXN7
,ANKRD28,,ADAMTS9
,PLCL2,,LRIG1
,EFHB,,FRMD4B
,AZI2,,ARL6
,ARPP21,,CMSS1
,MOBP,,ABI3BP
,CTNNB1,,CD47
,ABHD5,,ABHD10
,CACNA2D3-AS1,,ADPRH
,ATXN7,,ADCY5
,ADAMTS9,,ABTB1
,ADAMTS9,,COL6A5
,EOGT,,ACP3
,ARL13B,,BFSP2-AS1
,DCBLD2,,PPP2R3A
,ABI3BP,,ARMC8
,ALCAM,,ATR
,C3orf85,,AGTR1
,DRD3,,CLRN1
,HGD,,ARHGEF26
,CHCHD6,,RSRC1
,COL6A4P2,,IFT80
,ASTE1,,GPR160
,ACAD11,,FNDC3B
,AMOTL2,,ACTL6A
,MSL2,,ABCC5
,CEP70,,ATP13A5-AS1
,CLSTN2,,CPN2
,ATR,,LYAR
,ANKUB1,,C4orf50
,AADACL2,,ABLIM2
,ARHGEF26,,DCAF16
,GFM1,,KCNIP4
,B3GALNT1,,ANAPC4
,BCHE,,ARAP2
,CLDN11,,C4orf19
,ECT2,,FAM114A1
,DNAJC19,,CNGA1
,BCL6,,SCFD2
,ATP13A4-AS1,,AASDH
,ATP13A3,,IGFBP7
,FAM86EP,,CSN1S1
,EVC2,,SLC4A4
,LINC02447,,CXCL2
,CLNK,,CCNI
,BST1,,LINC00989
,LCORL,,ABRAXAS1
,CCDC149,,ARHGAP24
,ARAP2,,ABCG2
,ARAP2,,EMCN
,KLF3-AS1,,ENPEP
,APBB2,,ANK2
,CWH43,,LINC02502
,CLOCK,,BBS12
,AASDH,,C4orf33
,ADGRL3,,LSM6
,AMTN,,NR3C2
,AFM,,GATB
,ART3,,DCHS2
,BMP2K,,MAP9
,ANTXR2,,PDGFC
,CDS1,,NEK1
,AFF1,,CASP3
,ADH1B,,F11
,BANK1,,LINC02492
,AIMP1,,AHRR
,ALPK1,,NSUN2
,ARSJ,,C5orf49
,C4orf3,,ATPSCKMT
,ADAD1,,DNAH5
,ANKRD50,,C5orf22
,ABHD18,,ADAMTS12
,CLGN,,AGXT2
,GAB1,,CAPSL
,ABCE1,,CPLANE1
,EDNRA,,EGFLAM
,DCLK2,,DAB2
,ARFIP1,,C6
,LRAT,,CCL28
,CTSO,,CCNO
,C4orf46,,ADAMTS6
,APELA,,LOC101929599
,CBR4,,CARTPT
,AADAT,,TNPO1
,AGA,,ARHGEF28
,ACSL1,,ENC1
,ADAMTS16,,F2R
,LINC02123,,AP3B1
,ATPSCKMT,,MIR3977
,CTNND2,,MIR3660
,BASP1,,MCTP1
,LINC02160,,MIR583
,C1QTNF3-AMACR,,SLCO6A1
,PRLR,,APC
,NIPBL,,CCDC112
,EGFLAM,,DTWD2
,LIFR,,LMNB1
,DAB2,,CTXN3
,ANXA2R,,ACSL6
,FGF10,,CDKL3
,FST,,ANKHD1
,DDX4,,PLAC8L1
,C5orf64,,DPYSL3
,ADAMTS6,,ABLIM3
,LINC02219,,FAM114A2
,AK6,,HAVCR1
,GTF2H2,,LINC01847
,LOC102503427,,MIR12125
,ARHGEF28,,DOCK2
,ENC1,,FBXW11
,ANKRD31,,ARL10
,AP3B1,,AACSP1
,ATG10,,DUSP22
,CCNH,,BPHL
,ADGRV1,,C6orf201
,ELL2,,CAGE1
,CAST,,C6orf52
,CHD1,,GFOD1
,FBXL17,,CAP2
,CAMK4,,ACOT13
,DCP2,,BTN1A1
,AP3S1,,GPX5
,CEP120,,ABCF1
,ALDH7A1,,BTBD9
,C5orf63,,ABCC10
,ADAMTS19-AS1,,ADGRF5
,CCNI2,,ADGRF2
,C5orf24,,CILK1
,ARHGAP26,,BEND6
,DPYSL3,,EYS
,FBXO38,,OGFRL1
,CLMAT3,,CD109
,CNOT8,,IMPG1
,C5orf52,,RIPPLY2
,ATP10B,,CNR1
,MIR103A1,,BACH2
,C5orf58,,MCHR2
,BNIP1,,BEND3
,DBN1,,AK9
,EXOC2,,CALHM4
,LOC643327,,GOPC
,CDYL,,CENPW
,BLOC1S5,,LAMA2
,ADTRP,,AKAP7
,EDN1,,ENPP1
,ATXN1,,RPS12
,CDKAL1,,AHI1
,CARMIL1,,IFNGR1
,LINC00240,,TXLNB
,LINC01623,,AIG1
,BTBD9,,LTV1
,DAAM2,,UTRN
,CLIC5,,GRM1
,ADGRF1,,IYD
,C6orf141,,AKAP12
,BMP5,,MYCT1
,GUSBP4,,LOC105378068
,EYS,,ZDHHC14
,COL19A1,,C6orf99
,DDX43,,AGPAT4-IT1
,COL12A1,,AFDN
,HMGN3,,ADAP1
,BCKDHB,,AMZ1
,DOP1A,,SDK1
,CEP162,,AIMP2
,C6orf163,,LOC101927391
,ANKRD6,,CDCA7L
,CCNC,,CLK2P1
,ASCC3,,C7orf31
,AFG1L,,HOXA-AS3
,DSE,,ADCYAP1R1
,DCBLD1,,ANLN
,BRD7P3,,AMPH
,FABP7,,BLVRA
,CENPW,,C7orf57
,AKAP7,,DDC
,AKAP7,,CCT6A
,SLC18B1,,TPST1
,ALDH8A1,,CALN1
,BCLAF1,,ABHD11
,ARFGEF3,,CCL24
,ADGRG6,,DTX2P1-UPK3BP1-PMS2P11
,ADAT2,,ABCB1
,STX11,,AKAP9
,EPM2A,,CDK6
,GINM1,,PPP1R9A
,IYD,,ASNS
,ESR1,,ACHE
,CNKSR3,,CUX1
,ARID1B,,ARMC10
,SERAC1,,KMT2E
,ACAT2,,BCAP29
,CAHM,,ASZ1
,C6orf120,,SLC13A1
,ELFN1-AS1,,AHCYL2
,CARD11,,AGBL3
,AP5Z1,,ATP6V0A4
,COL28A1,,AGK
,ABCB5,,LOC154761
,FAM126A,,CUL1
,MPP6,,ABCB8
,CBX3,,LMBR1
,HOTAIRM1,,MIR5707
,CHN2,,ARHGEF10
,BBS9,,MSRA
,AOAH,,BLK
,C7orf25,,CNOT7
,ADCY1,,BIN3
,CDC14C,,ADAM28
,COBL,,DOCK5
,ASL,,CCDC25
,AUTS2,,GSR
,TYW1B,,ADRB3
,CLIP2,,ANK1
,DTX2,,EFCAB1
,APTR,,ASPH
,LOC101927378,,CPA6
,ADAM22,,LACTB2-AS1
,CDK14,,C8orf88
,CDK6,,C8orf37
,BET1,,OSR2
,CASD1,,ANKRD46
,ASB4,,BAALC
,BHLHA15,,ZFPM2
,CLDN15,,MRPL13
,CUX1,,FER1L6-AS1
,DNAJC2,,LOC101927822
,ATXN7L1,,KCNK9
,C7orf66,,LINC00051
,CFTR,,ARHGAP39
,CADPS2,,SMARCA2
,ASB15,,PUM3
,CEP41,,AK3
,AKR1B1,,PTPRD
,AKR1D1,,CCDC171
,BRAF,,DENND4C
,CASP2,,FOCAD
,ARHGEF34P,,C9orf72
,ACTR3C,,ACO1
,ACTR3B,,ABHD17B
,DNAJB6,,ANXA1
,ANGPT2,,GNA14-AS1
,LINCR-0001,,LINC01507
,CTSB,,NTRK2
,ASAH1,,C9orf153
,ENTPD4,,NXNL2
,ADAMDEC1,,LINC01501
,ADRA1A,,ROR2
,DUSP4,,AOPEP
,DUSP26,,TBC1D2
,ADAM18,,ALG2
,CEBPD,,LINC00587
,ATP6V1H,,SMC2
,CHCHD7,,KLF4
,FAM110B,,PALM2AKAP2
,ASPH,,DNAJC25
,ARFGEF1,,ALAD
,C8orf34,,AKNA
,LINC01603,,CRB2
,C8orf89,,GAPVD1
,CALB1,,AK1
,CDH17,,ABCA2
,ERICH5,,IDI1
,FBXO43,,PITRM1
,AZIN1,,AKR1C2
,LRP12,,ATP5F1C
,ANGPT1,,DHTKD1
,CCN3,,BEND7
,ANXA13,,ACBD7-DCLRE1CP1
,ASAP1,,RSU1
,CCN4,,PRTFDC1
,FAM135B,,ABI1
,AGO2,,LINC02644
,ARC,,HSD17B7P2
,DMRT1,,CSGALNACT2
,SMARCA2,,AGAP4
,GLIS3,,A1CF
,DMAC1,,ADAMTS14
,LINC01235,,ADK
,ADAMTSL1,,KCNMA1
,FOCAD,,EIF5AL1
,CAAP1,,NRG3
,ACO1,,LIPF
,ANKRD18A,,HECTD2
,GDA,,ACSM6
,CARNMT1,,ARL3
,CEP78,,ATP5MD
,TLE4,,ACSL5
,C9orf64,,CCDC186
,AGTPBP1,,C10orf82
,CDK20,,CASC2
,C9orf47,,NANOS1
,AUH,,FGFR2
,AOPEP,,CHST15
,ANP32B,,DOCK1
,TBC1D2,,EBF3
,FKTN,,AKIP1
,ACTL7A,,AMPD3
,ECPAS,,DKK3
,HSDL2,,COPB1
,RGS3,,ABCC8
,BRINP1,,HTATIP2
,GOLGA1,,ANO3
,LMX1B,,APIP
,C9orf16,,IFTAP
,CACNA1B,,ACCS
,DIP2C-AS1,,ACP2
,ADARB2-AS1,,OR4A15
,AKR1C2,,ACTN3
,ITIH5,,ANO1
,CELF2,,AAMDC
,CAMK1D,,DDIAS
,FAM107B,,CCDC83
,FAM171A1,,FAT3
,CACNB2,,AMOTL1
,ARHGAP21,,BIRC2
,ENKUR,,CASP12
,ARMC4,,ATM
,JCAD,,ALG9
,ARHGAP12,,C11orf71
,BMS1,,ABCG4
,ALOX5,,CRTAM
,AGAP13P,,ACRV1
,ANK3,,FLI1
,ANXA2P3,,APLP2
,CCAR1,,JAM3
,ADK,,CCDC77
,LRMDA,,CACNA1C
,DLG5-AS1,,AKAP3
,ANXA11,,A2M
,CCSER2,,APOLD1
,AGAP11,,ARHGDIB
,ACTA2,,ABCC9
,BTAF1,,KRAS
,BLOC1S2,,ARNTL2
,BORCS7,,OVCH1-AS1
,ADD3,,AMN1
,CASP7,,DNM1L
,ABLIM1,,C12orf40
,CASC2,,CNTN1
,PRLHR,,LINC02451
,DENND10,,SLC38A1
,ACADSB,,AAAS
,ADAM12,,LINC02389
,AS-PTPRE,,GRIP1
,ADAM8,,CPM
,AMPD3,,PTPRR
,GALNT18,,TBC1D15
,ARNTL,,KITLG
,CALCA,,LOC643339
,MIR4486,,MIR492
,ANO3,,CCDC38
,BBOX1,,ANKS1B
,COMMD9,,ANO4
,API5,,ALDH1L2
,CD82,,BTBD11
,FOLH1,,WSCD2
,LINC02735,,ACAD10
,ANO1,,AACS
,CTTN,,RAN
,LOC101928896,,FBRSL1
,ANKRD42,,ANHX
,CCDC81,,CRYL1
,FAT3,,AMER2
,CWC15,,MTUS2
,ARHGAP42,,EEF1DP3
,DYNC2H1,,LINC00423
,ALKBH8,,POSTN
,ARHGAP20,,DGKH
,BCO2,,CBY2
,CADM1,,FNDC3A
,MIR100,,DLEU1
,CLMP,,CKAP2
,DCPS,,LMO7
,ARHGAP32,,EDNRB
,ADAMTS8,,MIR4501
,ADIPOR2,,CLYBL
,CACNA1C,,ANKRD10
,ANO2,,ADPRHL1
,CLEC2D,,ACIN1
,ATF7IP,,AP4S1
,PTPRO,,INSM2
,AEBP2,,LINC02303
,BCAT1,,ABHD12B
,ITPR2,,DDHD1
,CCDC91,,DLGAP5
,CAPRIN2,,DACT1
,BICD1,,MNAT1
,ALG10,,LINC00644
,LINC02471,,CHURC1
,CNTN1,,PIGH
,ANO6,,ADAM20P1
,AMIGO2,,RGS6
,LINC02388,,ABCD4
,C12orf56,,ADCK1
,GRIP1,,LINC02308
,CAND1,,EML5
,IFNG-AS1,,ASB2
,BEST3,,C14orf132
,CNOT2,,LINC02299
,LGR5,,BEGAIN
,ACSS3,,ANKRD9
,ATP2B1,,BRF1
,CCER1,,CYFIP1
,CEP83,,SNHG14
,MIR331,,GOLGA8F
,ANKS1B,,KLF13
,ACTR6,,CHRM5
,C12orf42,,NANOGP8
,CASC18,,ADAL
,BTBD11,,BLOC1S6
,CMKLR1,,AP4E1
,MED13L,,DNAAF4
,FBXO21,,ALDH1A2
,PEBP1,,BNIP2
,CIT,,RORA-AS2
,FZD10-AS1,,GOLGA2P11
,ADGRD1,,APH1B
,CHFR,,ANP32A-IT1
,C1QTNF9B,,CT62
,ATP8A2,,ADPGK
,ALOX5AP,,ARID3B
,EEF1DP3,,HMG20A
,ALG5,,ACSBG1
,FREM2-AS1,,CEMIP
,COG6,,ADAMTSL3
,CCDC122,,AKAP13
,CYSLTR2,,AGBL1-AS1
,CAB39L,,ANPEP
,ALG11,,LOC400464
,BORA,,ABAT
,COMMD6,,BCAR4
,BTF3P11,,BFAR
,ABCC4,,MIR1972-1
,FARP1,,ABCC6
,BIVM,,ARL6IP1
,ARGLU1,,ACSM1
,ADPRHL1,,COG7
,AP4S1,,ARHGAP17
,ARHGAP5,,GSG1L
,FBXO33,,ATP2A1
,FANCM,,ALDOA
,DNAAF2,,LOC105369266
,FRMD6,,C16orf87
,BMP4,,ABCC11
,AP5M1,,ADCY7
,CCDC175,,AKTIP
,HIF1A,,CES1
,ESR2,,ADGRG1
,CCDC196,,ACD
,ACTN1,,ZFHX3
,RGS6,,ADAT1
,DCAF4,,ATMIN
,ANGEL1,,ADAD2
,CEP128,,BANP
,FLRT2,,ACSF3
,CALM1,,ABR
,DICER1,,ACADVL
,AK7,,CFAP52
,BCL11B,,DNAH9
,DIO3OS,,ARHGAP44
,ADSS1,,ALKBH5
,LINC00226,,AKAP10
,GOLGA6L2,,ADAP2
,GABRA5,,ASIC2
,APBA2,,AP2B1
,ARHGAP11B,,AATF
,ARHGAP11A,,ABI3
,AQR,,COX11
,C15orf54,,AKAP1
,CTDSPL2,,APPBP2
,CTXN2,,BCAS3
,CCPG1,,APOH
,CGNL1,,ARMC7
,ADAM10,,AANAT
,ANXA2,,AFMID
,LINC02349,,CLUL1
,MIR190A,,CHORDC1P4
,AAGAB,,ARHGAP28
,LARP6,,ANKRD12
,NR2E3,,ANKRD62
,MIR12135,,ABHD3
,PEAK1,,CCDC178
,ACSBG1,,NOL4
,ARNT2,,LINC01601
,ADAMTS7P1,,CTIF
,ADAMTSL3,,TCF4
,AKAP13,,LINC-ROR
,ABHD2,,PMAIP1
,C15orf32,,LOC643542
,FAM169B,,LINC00909
,ALDH1A3,,ABHD17A
,ABAT,,LINC00664
,ATF7IP2,,CEBPA
,CPPED1,,CHGB
,LOC100288162,,LAMP5
,BMERB1,,MIR6870
,ARL6IP1,,ESF1
,GP2,,BANF2
,HS3ST2,,CFAP61
,LINC02194,,XRN2
,HS3ST4,,ABHD12
,CLN3,,AAR2
,BOLA2,,LINC01370
,AHSP,,ADA
,CCNYL3,,B4GALT5
,ITFG1,,CTCFL
,C16orf78,,APCDD1L
,CASC22,,ADRM1
,CRNDE,,KRTAP13-2
,AMFR,,CFAP298
,CDH11,,ITSN1
,LINC01572,,CLIC6
,LINC01568,,DSCR4
,ADAMTS18,,DSCAM
,CDH13,,ADARB1
,C16orf74,,ATP6V1E1
,BANP,,C22orf39
,DERL2,,AIFM3
,NTN1,,PRAMENP
,MAGOH2P,,ADORA2A
,DNAH9,,CRYBA4
,ARHGAP44,,AP1B1
,GRAP,,A4GALT
,FLJ36000,,ATXN10
,ASIC2,,ADM2
,TMEM132E,,
,CCL3,,
,ADAM11,,
,ABCC3,,
,HLF,,
,CLTC,,
,BCAS3,,
,ACE,,
,ABCA10,,
,LINC01152,,
,ACOX1,,
,LOC400622,,
,ADCYAP1,,
,AKAIN1,,
,LAMA1,,
,GNAL,,
,ANKRD30B,,
,ANKRD29,,
,B4GALT6,,
,CCDC178,,
,C18orf21,,
,ATP5F1A,,
,C18orf32,,
,LINC01415,,
,ATP8B1,,
,BCL2,,
,CCDC102B,,
,CBLN2,,
,ZNF430,,
,C19orf12,,
,CHST8,,
,LINC01433,,
,CASC20,,
,ANKEF1,,
,BTBD3,,
,FLRT3,,
,DTD1,,
,KIZ,,
,CST1,,
,FAM182B,,
,ADIG,,
,EMILIN3,,
,ELMO2,,
,ADNP,,
,LINC01441,,
,AURKA,,
,C20orf85,,
,ATP5F1E,,
,ABCC13,,
,KRTAP19-1,,
,C21orf62,,
,FAM243B,,
,CBR1,,
,B3GALT5,,
,ABCG1,,
,DGCR5,,
,DGCR6L,,
,CCDC116,,
,BCR,,
,CRYBB2P1,,
,CCDC117,,
,HMGXB4,,
,ARHGAP8,,
,BRD1,,
